insert into lottery.match values('1600101','英超','阿森纳','纽卡','1:0','3');
insert into lottery.europe_data values('Interwetten','lastData','2.60','3.20','2.60','1600202');
insert into lottery.match values('1600203','西甲','巴列卡','社会','2:2','1');
insert into lottery.europe_data values('williamHill','firstData','2.60','3.30','2.70','1600203');
insert into lottery.europe_data values('williamHill','lastData','2.60','3.30','2.70','1600203');
insert into lottery.europe_data values('Interwetten','firstData','2.60','3.20','2.60','1600203');
insert into lottery.europe_data values('Interwetten','lastData','2.60','3.20','2.60','1600203');
insert into lottery.match values('1600204','西甲','格拉纳','塞维利','2:1','3');
insert into lottery.europe_data values('williamHill','firstData','4.00','3.50','1.91','1600204');
insert into lottery.europe_data values('williamHill','lastData','4.40','3.60','1.80','1600204');
insert into lottery.europe_data values('Interwetten','firstData','3.75','3.20','2.00','1600204');
insert into lottery.europe_data values('Interwetten','lastData','3.90','3.40','1.90','1600204');
insert into lottery.match values('1600205','西甲','希洪','赫塔费','1:2','0');
insert into lottery.europe_data values('williamHill','firstData','2.25','3.10','3.40','1600205');
insert into lottery.europe_data values('williamHill','lastData','2.30','3.20','3.20','1600205');
insert into lottery.europe_data values('Interwetten','firstData','2.30','3.10','3.10','1600205');
insert into lottery.europe_data values('Interwetten','lastData','2.30','3.10','3.10','1600205');
insert into lottery.match values('1600206','西甲','毕尔巴','拉斯帕','2:2','1');
insert into lottery.europe_data values('williamHill','firstData','1.40','4.50','8.00','1600206');
insert into lottery.europe_data values('williamHill','lastData','1.40','4.40','8.50','1600206');
insert into lottery.europe_data values('Interwetten','firstData','1.40','4.40','7.30','1600206');
insert into lottery.europe_data values('Interwetten','lastData','1.40','4.40','7.30','1600206');
insert into lottery.match values('1600207','西甲','拉科鲁','比利亚','1:2','0');
insert into lottery.europe_data values('williamHill','firstData','2.80','3.10','2.62','1600207');
insert into lottery.europe_data values('williamHill','lastData','2.62','3.20','2.75','1600207');
insert into lottery.europe_data values('Interwetten','firstData','2.60','3.20','2.60','1600207');
insert into lottery.europe_data values('Interwetten','lastData','2.60','3.20','2.60','1600207');
insert into lottery.match values('1600208','西甲','巴伦西','皇马','2:2','1');
insert into lottery.europe_data values('williamHill','firstData','5.50','4.33','1.55','1600208');
insert into lottery.europe_data values('williamHill','lastData','5.50','4.33','1.55','1600208');
insert into lottery.europe_data values('Interwetten','firstData','7.00','4.00','1.45','1600208');
insert into lottery.europe_data values('Interwetten','lastData','5.50','4.00','1.55','1600208');
insert into lottery.match values('1600209','西甲','贝蒂斯','埃瓦尔','0:4','0');
insert into lottery.europe_data values('williamHill','firstData','2.40','3.10','3.10','1600209');
insert into lottery.europe_data values('williamHill','lastData','2.40','3.10','3.10','1600209');
insert into lottery.europe_data values('Interwetten','firstData','2.20','3.10','3.30','1600209');
insert into lottery.europe_data values('Interwetten','lastData','2.40','3.10','2.95','1600209');
insert into lottery.match values('1600301','意甲','切沃','罗马','3:3','1');
insert into lottery.europe_data values('williamHill','firstData','3.30','3.20','2.25','1600301');
insert into lottery.europe_data values('williamHill','lastData','3.25','3.00','2.40','1600301');
insert into lottery.europe_data values('Interwetten','firstData','2.90','3.30','2.30','1600301');
insert into lottery.europe_data values('Interwetten','lastData','2.90','3.30','2.30','1600301');
insert into lottery.match values('1600302','意甲','AC米兰','博洛尼','0:1','0');
insert into lottery.europe_data values('williamHill','firstData','1.53','3.80','7.00','1600302');
insert into lottery.europe_data values('williamHill','lastData','1.53','3.80','7.00','1600302');
insert into lottery.europe_data values('Interwetten','firstData','1.50','4.00','6.10','1600302');
insert into lottery.europe_data values('Interwetten','lastData','1.50','4.00','6.10','1600302');
insert into lottery.match values('1600303','意甲','恩波利','国米','0:1','0');
insert into lottery.europe_data values('williamHill','firstData','3.30','3.20','2.25','1600303');
insert into lottery.europe_data values('williamHill','lastData','3.40','3.00','2.30','1600303');
insert into lottery.europe_data values('Interwetten','firstData','3.20','3.20','2.20','1600303');
insert into lottery.europe_data values('Interwetten','lastData','3.20','3.20','2.20','1600303');
insert into lottery.match values('1600304','意甲','尤文','维罗纳','3:0','3');
insert into lottery.europe_data values('williamHill','firstData','1.17','6.50','21.00','1600304');
insert into lottery.europe_data values('williamHill','lastData','1.17','7.00','17.00','1600304');
insert into lottery.europe_data values('Interwetten','firstData','1.15','7.00','15.00','1600304');
insert into lottery.europe_data values('Interwetten','lastData','1.15','7.00','15.00','1600304');
insert into lottery.match values('1600305','意甲','拉齐奥','卡皮','0:0','1');
insert into lottery.europe_data values('williamHill','firstData','1.33','4.80','10.00','1600305');
insert into lottery.europe_data values('williamHill','lastData','1.44','4.20','8.00','1600305');
insert into lottery.europe_data values('Interwetten','firstData','1.30','5.00','9.00','1600305');
insert into lottery.europe_data values('Interwetten','lastData','1.45','4.00','7.00','1600305');
insert into lottery.match values('1600306','意甲','那不勒','都灵','2:1','3');
insert into lottery.europe_data values('williamHill','firstData','1.44','4.40','7.00','1600306');
insert into lottery.europe_data values('williamHill','lastData','1.40','4.50','8.00','1600306');
insert into lottery.europe_data values('Interwetten','firstData','1.45','4.00','7.00','1600306');
insert into lottery.europe_data values('Interwetten','lastData','1.40','4.40','7.30','1600306');
insert into lottery.match values('1600307','意甲','乌迪内','亚特兰','2:1','3');
insert into lottery.europe_data values('williamHill','firstData','2.40','3.10','3.10','1600307');
insert into lottery.europe_data values('williamHill','lastData','2.15','3.10','3.75','1600307');
insert into lottery.europe_data values('Interwetten','firstData','2.30','3.20','3.00','1600307');
insert into lottery.europe_data values('Interwetten','lastData','2.30','3.20','3.00','1600307');
insert into lottery.match values('1600308','意甲','巴勒莫','佛罗伦','1:3','0');
insert into lottery.europe_data values('williamHill','firstData','4.33','3.50','1.85','1600308');
insert into lottery.europe_data values('williamHill','lastData','4.80','3.40','1.80','1600308');
insert into lottery.europe_data values('Interwetten','firstData','4.00','3.45','1.85','1600308');
insert into lottery.europe_data values('Interwetten','lastData','3.80','3.45','1.90','1600308');
insert into lottery.match values('1600309','意甲','萨索洛','弗洛西','2:2','1');
insert into lottery.europe_data values('williamHill','firstData','1.65','3.75','5.50','1600309');
insert into lottery.europe_data values('williamHill','lastData','1.44','4.20','8.00','1600309');
insert into lottery.europe_data values('Interwetten','firstData','1.65','3.60','5.10','1600309');
insert into lottery.europe_data values('Interwetten','lastData','1.55','3.90','5.60','1600309');
insert into lottery.match values('1600401','意甲','卡皮','乌迪内','2:1','3');
insert into lottery.europe_data values('williamHill','firstData','2.90','3.20','2.50','1600401');
insert into lottery.europe_data values('williamHill','lastData','3.00','3.10','2.45','1600401');
insert into lottery.europe_data values('Interwetten','firstData','2.60','3.20','2.60','1600401');
insert into lottery.europe_data values('Interwetten','lastData','2.60','3.20','2.60','1600401');
insert into lottery.match values('1600402','意甲','佛罗伦','拉齐奥','1:3','0');
insert into lottery.europe_data values('williamHill','firstData','2.05','3.40','3.60','1600402');
insert into lottery.europe_data values('williamHill','lastData','1.91','3.40','4.20','1600402');
insert into lottery.europe_data values('Interwetten','firstData','1.85','3.45','4.00','1600402');
insert into lottery.europe_data values('Interwetten','lastData','1.85','3.45','4.00','1600402');
insert into lottery.match values('1600403','意甲','罗马','AC米兰','1:1','1');
insert into lottery.europe_data values('williamHill','firstData','2.05','3.40','3.60','1600403');
insert into lottery.europe_data values('williamHill','lastData','2.20','3.30','3.30','1600403');
insert into lottery.europe_data values('Interwetten','firstData','2.00','3.30','3.60','1600403');
insert into lottery.europe_data values('Interwetten','lastData','2.00','3.30','3.60','1600403');
insert into lottery.match values('1600404','西甲','巴萨','格拉纳','4:0','3');
insert into lottery.europe_data values('williamHill','firstData','1.02','19.00','36.00','1600404');
insert into lottery.europe_data values('williamHill','lastData','1.05','12.00','34.00','1600404');
insert into lottery.europe_data values('Interwetten','firstData','1.07','9.50','22.00','1600404');
insert into lottery.europe_data values('Interwetten','lastData','1.07','9.50','22.00','1600404');
insert into lottery.match values('1600405','西甲','塞维利','毕尔巴','2:0','3');
insert into lottery.europe_data values('williamHill','firstData','2.05','3.50','3.50','1600405');
insert into lottery.europe_data values('williamHill','lastData','2.10','3.30','3.50','1600405');
insert into lottery.europe_data values('Interwetten','firstData','2.00','3.30','3.60','1600405');
insert into lottery.europe_data values('Interwetten','lastData','2.00','3.30','3.60','1600405');
insert into lottery.match values('1600406','西甲','赫塔费','贝蒂斯','1:0','3');
insert into lottery.europe_data values('williamHill','firstData','2.05','3.25','3.80','1600406');
insert into lottery.europe_data values('williamHill','lastData','2.00','3.20','4.00','1600406');
insert into lottery.europe_data values('Interwetten','firstData','2.00','3.30','3.60','1600406');
insert into lottery.europe_data values('Interwetten','lastData','2.00','3.30','3.60','1600406');
insert into lottery.match values('1600407','西甲','皇马','拉科鲁','5:0','3');
insert into lottery.europe_data values('williamHill','firstData','1.14','7.50','12.00','1600407');
insert into lottery.europe_data values('williamHill','lastData','1.14','7.50','19.00','1600407');
insert into lottery.europe_data values('Interwetten','firstData','1.15','7.00','15.00','1600407');
insert into lottery.europe_data values('Interwetten','lastData','1.15','7.00','15.00','1600407');
insert into lottery.match values('1600408','西甲','莱万特','巴列卡','2:1','3');
insert into lottery.europe_data values('williamHill','firstData','2.25','3.25','3.25','1600408');
insert into lottery.europe_data values('williamHill','lastData','2.30','3.20','3.20','1600408');
insert into lottery.europe_data values('Interwetten','firstData','2.20','3.20','3.20','1600408');
insert into lottery.europe_data values('Interwetten','lastData','2.20','3.20','3.20','1600408');
insert into lottery.match values('1600409','法甲','里昂','特鲁瓦','4:1','3');
insert into lottery.europe_data values('williamHill','firstData','1.36','5.00','8.00','1600409');
insert into lottery.europe_data values('williamHill','lastData','1.36','5.00','8.00','1600409');
insert into lottery.europe_data values('Interwetten','firstData','1.35','4.70','7.90','1600409');
insert into lottery.europe_data values('Interwetten','lastData','1.40','4.30','7.50','1600409');
insert into lottery.match values('1600410','法甲','昂热','卡昂','2:0','3');
insert into lottery.europe_data values('williamHill','firstData','2.60','2.90','3.00','1600410');
insert into lottery.europe_data values('williamHill','lastData','2.40','3.00','3.20','1600410');
insert into lottery.europe_data values('Interwetten','firstData','2.40','3.15','2.90','1600410');
insert into lottery.europe_data values('Interwetten','lastData','2.40','3.15','2.90','1600410');
insert into lottery.match values('1600411','法甲','摩纳哥','阿雅GF','2:2','1');
insert into lottery.europe_data values('williamHill','firstData','1.50','3.80','7.50','1600411');
insert into lottery.europe_data values('williamHill','lastData','1.60','3.75','6.00','1600411');
insert into lottery.europe_data values('Interwetten','firstData','1.45','4.00','7.00','1600411');
insert into lottery.europe_data values('Interwetten','lastData','1.50','3.90','6.30','1600411');
insert into lottery.match values('1600412','法甲','雷恩','洛里昂','2:2','1');
insert into lottery.europe_data values('williamHill','firstData','2.05','3.25','3.80','1600412');
insert into lottery.europe_data values('williamHill','lastData','1.91','3.30','4.33','1600412');
insert into lottery.europe_data values('Interwetten','firstData','2.05','3.20','3.60','1600412');
insert into lottery.europe_data values('Interwetten','lastData','2.00','3.20','3.75','1600412');
insert into lottery.match values('1600413','法甲','蒙彼利','波尔多','0:1','0');
insert into lottery.europe_data values('williamHill','firstData','2.40','3.10','3.10','1600413');
insert into lottery.europe_data values('williamHill','lastData','2.30','3.10','3.30','1600413');
insert into lottery.europe_data values('Interwetten','firstData','2.30','3.10','3.10','1600413');
insert into lottery.europe_data values('Interwetten','lastData','2.30','3.10','3.10','1600413');
insert into lottery.match values('1600414','法甲','兰斯','图卢兹','1:3','0');
insert into lottery.europe_data values('williamHill','firstData','2.45','3.25','2.90','1600414');
insert into lottery.europe_data values('williamHill','lastData','2.45','3.25','2.90','1600414');
insert into lottery.europe_data values('Interwetten','firstData','2.40','3.15','2.90','1600414');
insert into lottery.europe_data values('Interwetten','lastData','2.50','3.10','2.80','1600414');
insert into lottery.match values('1600501','意甲','亚特兰','热那亚','0:2','0');
insert into lottery.europe_data values('williamHill','firstData','2.15','3.25','3.50','1600501');
insert into lottery.europe_data values('williamHill','lastData','2.50','3.20','2.88','1600501');
insert into lottery.europe_data values('Interwetten','firstData','2.10','3.30','3.30','1600501');
insert into lottery.europe_data values('Interwetten','lastData','2.30','3.10','3.10','1600501');
insert into lottery.match values('1600502','意甲','博洛尼','切沃','0:1','0');
insert into lottery.europe_data values('williamHill','firstData','2.40','3.10','3.10','1600502');
insert into lottery.europe_data values('williamHill','lastData','2.40','3.10','3.10','1600502');
insert into lottery.europe_data values('Interwetten','firstData','2.30','3.10','3.10','1600502');
insert into lottery.europe_data values('Interwetten','lastData','2.40','3.10','2.95','1600502');
insert into lottery.match values('1600503','意甲','都灵','恩波利','0:1','0');
insert into lottery.europe_data values('williamHill','firstData','1.91','3.30','4.33','1600503');
insert into lottery.europe_data values('williamHill','lastData','1.91','3.30','4.33','1600503');
insert into lottery.europe_data values('Interwetten','firstData','1.90','3.30','4.00','1600503');
insert into lottery.europe_data values('Interwetten','lastData','1.90','3.30','4.00','1600503');
insert into lottery.match values('1600504','意甲','弗洛西','那不勒','1:5','0');
insert into lottery.europe_data values('williamHill','firstData','9.00','5.00','1.33','1600504');
insert into lottery.europe_data values('williamHill','lastData','11.00','6.00','1.25','1600504');
insert into lottery.europe_data values('Interwetten','firstData','7.60','4.80','1.35','1600504');
insert into lottery.europe_data values('Interwetten','lastData','9.00','5.00','1.30','1600504');
insert into lottery.match values('1600505','意甲','维罗纳','巴勒莫','0:1','0');
insert into lottery.europe_data values('williamHill','firstData','2.50','3.20','2.88','1600505');
insert into lottery.europe_data values('williamHill','lastData','2.25','3.20','3.30','1600505');
insert into lottery.europe_data values('Interwetten','firstData','2.30','3.10','3.10','1600505');
insert into lottery.europe_data values('Interwetten','lastData','2.30','3.10','3.10','1600505');
insert into lottery.match values('1600506','意甲','桑普多','尤文','1:2','0');
insert into lottery.europe_data values('williamHill','firstData','6.00','4.00','1.55','1600506');
insert into lottery.europe_data values('williamHill','lastData','6.00','4.00','1.55','1600506');
insert into lottery.europe_data values('Interwetten','firstData','7.00','4.00','1.45','1600506');
insert into lottery.europe_data values('Interwetten','lastData','7.00','4.00','1.45','1600506');
insert into lottery.match values('1600507','西甲','社会','巴伦西','2:0','3');
insert into lottery.europe_data values('williamHill','firstData','2.15','3.25','3.50','1600507');
insert into lottery.europe_data values('williamHill','lastData','2.25','3.20','3.30','1600507');
insert into lottery.europe_data values('Interwetten','firstData','2.20','3.30','3.10','1600507');
insert into lottery.europe_data values('Interwetten','lastData','2.20','3.30','3.10','1600507');
insert into lottery.match values('1600508','西甲','拉斯帕','马拉加','1:1','1');
insert into lottery.europe_data values('williamHill','firstData','2.60','3.00','2.90','1600508');
insert into lottery.europe_data values('williamHill','lastData','2.60','3.00','2.90','1600508');
insert into lottery.europe_data values('Interwetten','firstData','2.50','3.20','2.75','1600508');
insert into lottery.europe_data values('Interwetten','lastData','2.50','3.20','2.75','1600508');
insert into lottery.match values('1600509','西甲','埃瓦尔','西牙人','2:1','3');
insert into lottery.europe_data values('williamHill','firstData','2.10','3.10','3.80','1600509');
insert into lottery.europe_data values('williamHill','lastData','1.95','3.25','4.20','1600509');
insert into lottery.europe_data values('Interwetten','firstData','2.00','3.30','3.60','1600509');
insert into lottery.europe_data values('Interwetten','lastData','2.00','3.30','3.60','1600509');
insert into lottery.match values('1600510','西甲','塞尔塔','马竞技','0:2','0');
insert into lottery.europe_data values('williamHill','firstData','4.40','3.25','1.91','1600510');
insert into lottery.europe_data values('williamHill','lastData','4.00','3.10','2.05','1600510');
insert into lottery.europe_data values('Interwetten','firstData','3.80','3.45','1.90','1600510');
insert into lottery.europe_data values('Interwetten','lastData','3.80','3.45','1.90','1600510');
insert into lottery.match values('1600511','法甲','里尔','尼斯','1:1','1');
insert into lottery.europe_data values('williamHill','firstData','2.00','3.10','4.20','1600511');
insert into lottery.europe_data values('williamHill','lastData','1.91','3.25','4.40','1600511');
insert into lottery.europe_data values('Interwetten','firstData','1.95','3.25','3.85','1600511');
insert into lottery.europe_data values('Interwetten','lastData','1.90','3.30','4.00','1600511');
insert into lottery.match values('1600512','法甲','马赛','甘冈','0:0','1');
insert into lottery.europe_data values('williamHill','firstData','1.55','4.00','6.00','1600512');
insert into lottery.europe_data values('williamHill','lastData','1.67','3.75','5.00','1600512');
insert into lottery.europe_data values('Interwetten','firstData','1.55','3.70','6.00','1600512');
insert into lottery.europe_data values('Interwetten','lastData','1.65','3.50','5.30','1600512');
insert into lottery.match values('1600601','英超','伯恩茅','西汉姆','1:3','0');
insert into lottery.europe_data values('williamHill','firstData','1.91','3.50','4.00','1600601');
insert into lottery.europe_data values('williamHill','lastData','1.95','3.50','3.80','1600601');
insert into lottery.europe_data values('Interwetten','firstData','2.10','3.30','3.30','1600601');
insert into lottery.europe_data values('Interwetten','lastData','2.10','3.30','3.30','1600601');
insert into lottery.match values('1600602','英超','维拉','水晶宫','1:0','3');
insert into lottery.europe_data values('williamHill','firstData','3.10','3.10','2.40','1600602');
insert into lottery.europe_data values('williamHill','lastData','3.10','3.10','2.40','1600602');
insert into lottery.europe_data values('Interwetten','firstData','2.60','3.20','2.60','1600602');
insert into lottery.europe_data values('Interwetten','lastData','2.60','3.20','2.60','1600602');
insert into lottery.match values('1600603','英超','纽卡','曼联','3:3','1');
insert into lottery.europe_data values('williamHill','firstData','4.33','3.50','1.85','1600603');
insert into lottery.europe_data values('williamHill','lastData','5.00','3.30','1.80','1600603');
insert into lottery.europe_data values('Interwetten','firstData','4.50','3.70','1.70','1600603');
insert into lottery.europe_data values('Interwetten','lastData','4.20','3.50','1.80','1600603');
insert into lottery.match values('1600701','英超','切尔西','西布罗','2:2','1');
insert into lottery.europe_data values('williamHill','firstData','1.36','4.60','9.00','1600701');
insert into lottery.europe_data values('williamHill','lastData','1.44','4.20','8.00','1600701');
insert into lottery.europe_data values('Interwetten','firstData','1.35','4.80','7.60','1600701');
insert into lottery.europe_data values('Interwetten','lastData','1.40','4.40','7.30','1600701');
insert into lottery.match values('1600702','英超','曼城','埃弗顿','0:0','1');
insert into lottery.europe_data values('williamHill','firstData','1.50','4.40','6.00','1600702');
insert into lottery.europe_data values('williamHill','lastData','1.53','4.00','6.50','1600702');
insert into lottery.europe_data values('Interwetten','firstData','1.40','4.40','7.30','1600702');
insert into lottery.europe_data values('Interwetten','lastData','1.50','4.00','6.10','1600702');
insert into lottery.match values('1600703','英超','南安普','沃特福','2:0','3');
insert into lottery.europe_data values('williamHill','firstData','1.80','3.60','4.40','1600703');
insert into lottery.europe_data values('williamHill','lastData','1.95','3.30','4.00','1600703');
insert into lottery.europe_data values('Interwetten','firstData','2.00','3.30','3.60','1600703');
insert into lottery.europe_data values('Interwetten','lastData','2.00','3.30','3.60','1600703');
insert into lottery.match values('1600704','英超','斯托克','诺维奇','3:1','3');
insert into lottery.europe_data values('williamHill','firstData','1.91','3.40','4.20','1600704');
insert into lottery.europe_data values('williamHill','lastData','2.00','3.25','4.00','1600704');
insert into lottery.europe_data values('Interwetten','firstData','2.00','3.30','3.60','1600704');
insert into lottery.europe_data values('Interwetten','lastData','2.00','3.30','3.60','1600704');
insert into lottery.match values('1600705','英超','热刺','莱切城','0:1','0');
insert into lottery.europe_data values('williamHill','firstData','1.83','3.60','4.20','1600705');
insert into lottery.europe_data values('williamHill','lastData','1.80','3.40','4.80','1600705');
insert into lottery.europe_data values('Interwetten','firstData','1.70','3.70','4.50','1600705');
insert into lottery.europe_data values('Interwetten','lastData','1.80','3.50','4.20','1600705');
insert into lottery.match values('1600706','英超','斯旺西','桑德兰','2:4','0');
insert into lottery.europe_data values('williamHill','firstData','1.80','3.40','4.80','1600706');
insert into lottery.europe_data values('williamHill','lastData','1.83','3.30','4.80','1600706');
insert into lottery.europe_data values('Interwetten','firstData','1.75','3.50','4.50','1600706');
insert into lottery.europe_data values('Interwetten','lastData','1.80','3.50','4.20','1600706');
insert into lottery.match values('1600707','英超','利物浦','阿森纳','3:3','1');
insert into lottery.europe_data values('williamHill','firstData','2.80','3.50','2.40','1600707');
insert into lottery.europe_data values('williamHill','lastData','2.70','3.10','2.75','1600707');
insert into lottery.europe_data values('Interwetten','firstData','2.60','3.20','2.60','1600707');
insert into lottery.europe_data values('Interwetten','lastData','2.75','3.30','2.40','1600707');
insert into lottery.match values('1600801','法甲','尼斯','昂热','2:1','3');
insert into lottery.europe_data values('williamHill','firstData','2.15','3.00','3.80','1600801');
insert into lottery.europe_data values('williamHill','lastData','2.05','3.10','4.00','1600801');
insert into lottery.europe_data values('Interwetten','firstData','2.20','3.10','3.30','1600801');
insert into lottery.europe_data values('Interwetten','lastData','2.20','3.10','3.30','1600801');
insert into lottery.match values('1600901','英超','伯恩茅','诺维奇','3:0','3');
insert into lottery.europe_data values('williamHill','firstData','1.91','3.50','4.00','1600901');
insert into lottery.europe_data values('williamHill','lastData','1.91','3.20','4.50','1600901');
insert into lottery.europe_data values('Interwetten','firstData','1.90','3.45','3.80','1600901');
insert into lottery.europe_data values('Interwetten','lastData','1.90','3.45','3.80','1600901');
insert into lottery.match values('1600902','英超','切尔西','埃弗顿','3:3','1');
insert into lottery.europe_data values('williamHill','firstData','1.70','3.75','4.80','1600902');
insert into lottery.europe_data values('williamHill','lastData','1.75','3.75','5.00','1600902');
insert into lottery.europe_data values('Interwetten','firstData','1.60','3.70','5.40','1600902');
insert into lottery.europe_data values('Interwetten','lastData','1.85','3.45','4.00','1600902');
insert into lottery.match values('1600903','英超','曼城','水晶宫','4:0','3');
insert into lottery.europe_data values('williamHill','firstData','1.36','4.80','8.50','1600903');
insert into lottery.europe_data values('williamHill','lastData','1.36','4.80','9.00','1600903');
insert into lottery.europe_data values('Interwetten','firstData','1.40','4.40','7.30','1600903');
insert into lottery.europe_data values('Interwetten','lastData','1.40','4.40','7.30','1600903');
insert into lottery.match values('1600904','英超','纽卡','西汉姆','2:1','3');
insert into lottery.match values('1600905','英超','南安普','西布罗','3:0','3');
insert into lottery.europe_data values('williamHill','firstData','1.67','3.60','5.50','1600905');
insert into lottery.europe_data values('williamHill','lastData','1.73','3.30','5.50','1600905');
insert into lottery.europe_data values('Interwetten','firstData','1.85','3.45','4.00','1600905');
insert into lottery.europe_data values('Interwetten','lastData','1.80','3.50','4.20','1600905');
insert into lottery.match values('1600906','英超','维拉','莱切城','1:1','1');
insert into lottery.europe_data values('williamHill','firstData','3.60','3.30','2.10','1600906');
insert into lottery.europe_data values('williamHill','lastData','3.50','3.20','2.15','1600906');
insert into lottery.europe_data values('Interwetten','firstData','2.90','3.30','2.30','1600906');
insert into lottery.europe_data values('Interwetten','lastData','2.90','3.30','2.30','1600906');
insert into lottery.match values('1600907','意甲','亚特兰','国米','1:1','1');
insert into lottery.europe_data values('williamHill','firstData','3.30','3.20','2.25','1600907');
insert into lottery.europe_data values('williamHill','lastData','3.90','3.20','2.05','1600907');
insert into lottery.europe_data values('Interwetten','firstData','3.30','3.30','2.10','1600907');
insert into lottery.europe_data values('Interwetten','lastData','3.30','3.30','2.10','1600907');
insert into lottery.match values('1600908','意甲','都灵','弗洛西','4:2','3');
insert into lottery.europe_data values('williamHill','firstData','1.36','4.60','9.00','1600908');
insert into lottery.europe_data values('williamHill','lastData','1.33','5.00','9.00','1600908');
insert into lottery.europe_data values('Interwetten','firstData','1.33','4.80','8.30','1600908');
